English,Igala
kẹ́dọ̀nó 	trust
kẹrẹ̀bọ́ 	meet
kò 	heal
kócho	please
kojí	replace
kòjòkòjò 	anxiously
kórú 	mock
kọ	write
kọ́chẹ̄	learn
kọ̀fídá 	place
kọ́kwúú 	stiff
kù 	who
kpa	kill
kpá	ripe
kpàí 	and
kpajá 	grind
kpákányú	grip
kpákóló	jump
kpàkpà 	exactlly
kpákpálá 	quickly
kpakpalakpaa	hard
kpamá	tidy
kpalu 	quench
kpanà 	tear
kpéjì 	divide
kpélí	gather
kpẹ́ 	share
kpẹ́chíí	smallish
kpẹ́dọ̀ 	cruel
kpẹ́lẹ́kẹ́	always
kpẹ́rú 	divide
kpìyá 	smear
kpó 	smell
kpódudu 	smoky
kpojí 	conclude
kpolu	sedate
kpòò	loudly
ej'ọfẹ 	Rule 
Ejónù	reign
kpọ̀	cheap
kpọhiọọ 	heavy
kpọ̀ọ̀ 	much
kpọ́tii	thick
kpùkẹ̀ẹ̀ 	short
kpúná 	hot
kpuná	warm
kwà 	cry
kwàá	loudly
kwóò	deduct
kwú	die
kwu 	 Slaughter
kwúlọ̄ 	stammer
là	buy
lá	astray
làáléè	pass
láñwúù	grumble
lamọ́	paste
lè 	to go
lè gwúdu	overtake
le	somehow
lèkwú 	will die
lèwá	come
lẹ 	the
lí 	see
li	clean
lì	punch
lìá 	come
Íkòó 	time
lìààà	pull
lìchà-lìchà 	muscular
liẹ 	crush
líẹ́na 	envious
lìkìlìkì	fully
lile	big
lotoo	enormous
lọ́ 	chew
Ómi álọ̀	raining
Ómi 	water
lu 	quench
lù 	smell
má 	someone
má 	never
ma	their
májáà	hide
mẹmù 	to end
mí	rest
mi 	my
mì 	swallow
miẹ 	suck
mòmòlò	round
mọ	drink
mọ̀là 	kind
mú 	stop
múlọ̀	gather
nà 	myself
na	 rant
náa 	continue
nábáà	ban
nàdàlà 	unfold
najú 	hurry
nawo 	increase
néjú	believe
neke	can
neke	able
nétí	listen
nẹ́ 	carry
nẹ̀ 	break
nẹpi 	nose
nítēlē 	to ask after
nó	expel
nójí 	because of
nù	play
nù	played
nù	playing
nyọ̀ 	beautiful
nyọ́gbá 	progress
nyọ́lọ́ 	deform
nyú 	into
nyú 	in
nyú 	inside
ñá	catch
ñàà	firmly
ñòóñō	fiercely
ñọ́	gather
ñọ́rú	settle
ñmé 	particle
ñmí 	rest
ñmíñmi 	breathe
ñmọ	drink
ñwá	fall
ñwà	measure
ñwọ́	itch
ñwọ̀ 	slippery
òbé 	business
òbébè 	speed
òbìjimu	ostrich
óbó 	soup
òbògo	stupid
òbóchí ẹnẹfu	doctor
òbúkọ 	he-goat
òchìkapa 	rice
óchú 	witch
óchú 	wizard
òchúchù 	dizzy 
óchúù 	moon
ọ́kọ́ ochù	salary
òdènè 	vulture
òdòdó 	flower
òdùdu	morning
òdùfa	green
òféfē	soon after
òfeje-í 	recenty
òfòfo 	empty
òfòfo 	zero
òfù 	destruction
òfù 	loss
ògbégbéílẹ̀ 	eternally
ògbèlè 	lizard
ògbémè 	remarkable
ógbó	old age
ògémi	neatness
ògénéba 	elegance
ògijo	elder
ògijo	senior
ògwòni 	expert
ógwù 	medicine
ógwu 	warm
ógwú	inheritance
ògwùchẹ́kwọ̀ 	illitrate
ògwùgwù 	owl
òhì 	reply
ójétà 	trash
ójíká 	shoulder
òjìbó	statue
ójíle 	good luck
òjima	respect
òjima	honour
ójínójíì	grave
ójóò 	gift
ójúwó	hill
òjúgò	glass
òjùjù	secret
óko 	bush
òkólóbíáà	Boy
òkólo	ram
ókóò 	parrot
òkpò 	fear
ch'òkpò 	afraid
ókwu	friend 
ókwunọ 	cow
òkwúta 	stone
ókwúù 	trap
òlílí	flute
òlíye 	needle
ólu 	sleep
ólù 	sun
òlùbọ́	shade
òlùgbẹ	thirst
òlùka	dialogue
òményī	uncle
òmì 	water
ómu	salt
ónẹ̀ 	person
ónobùlẹ	woman
ónú 	king
ónúchẹ́ 	message
òñwu 	him
òñwu 	her
òtítálá	finally
òtítálá	last
ọ̀bàlà 	cat
ọ̀bàta	suffer
ọ̀bẹ 	knife
ọ́dáà 	law
kọdá	cut
ọ̀daala	law
ọ̀dọ̀	wall
ọ́dọ́da 	out
ọ́ga 	tall
ọ̀gà 	winner
ọ̀gẹ̀cha	truth
ọ́kọ	husband
Ọ́na 	dream
ọ̀ọ́nà 	path
ọ̀ọ́nà 	road
ọ̀tákáda 	book
m’ọ̀tákáda	brilliant
ọ́kọ́-ọ́tākāda	currency
iye	mother
ọ́wọ́ọ̀	broom
ọ́yáà 	wife
ọ́yá ukwú ọkọ	widow
ọ́yonū	queen
píọ́ọ́	surely
pótóó	wide
ráīlọ 	hate
ràìlò	fear
ré	shut
ré	close
K'í 	to
ódú 	name
kàkíníí	to say 
ta	shoot
ma kàkíníí	they said
ñwá	fall
ñwu	itch
Kù mẹ  	they should 
Kù 	should
Ká ñwu 	tell
Ká ñwu má 	time
Óñwù	own
Abo	people
a kàkíníí	we said
u kàkíníí	you said
ñwe̩	for you
ugbo	where
te̩	lock
o̩ma	son
o̩ma	Daughter
o̩ma	child
o̩la	word
k'o̩la	speak
Úmà ṅ	 i don't
ù 	i
amone̩	people
lewa	come
amo̩ma	children
ne̩	carry
eju	eye
eju	face
dufu	go out
dufu	going out
one̩	someone
Defidi	david
àchẹ 	predict
Agba	hello
ọ́gbọ́ọgbá	tall
iche̩bo̩	remaining
bi	open
e̩do̩	heart
E̩ne̩	person
Abe̩le̩	like that
dágō	wait
dágō	stand 
neke	can
wèwè	plenty
oli	stick
o̩na	way
o̩na	door
dohi	answer
kiafo̩	sacred
kiafo̩	holy
o̩la-wñ	body
rinyo̩	sweet
nyo̩	good luck
ʼe̩wñ	thing
chʼe̩wñ	do
e̩do̩	call
oji	thief
kwane̩	to stand up
gugu	sweat
ónúgò	self
ónúgo ùwẹ	yourself
ónúgò mi	myself
ónúgò wa	ourself
ónúgò wa	ourselves
ùbì	behind
kpẹ́	share
ójóojí 	different
ẹ̀gbà 	season
ẹ̀gbà 	period
ẹ̀gbà 	time
ko̩la	speak
ko̩la	talk
dàbì 	go back
ùñà	chance
ùñà	opportunity
e̩bie̩ne̩	bad
che	is
egini	small
ate̩	up
ogane	down
íbe 	mind
íbe 	heart
ogbegbele̩	forever
e̩gujo	burn
efojale	heaven
umola	wisdom
o̩chaka	everything
e̩yo̩	joy
kʼunyi	bulld
e̩ko̩	full
ufe̩do̩	love
Jisos	jesus
o̩bata	suffer
afe̩do̩	we love
efe̩do̩	i love
eli	song
o̩ko̩ko̩lo̩	cycle
ala	sheep
daba	cross
kado	touch
Aladi	Sunday
Látiní	Monday
Talata	Tuesday
Laluba	Wednesday
Alami	Thursday
Ajuma	Friday
Ishatè	Saturday
Olu	Sunday
ochu ajodudu	January
ochu ekeji	February
ochu eketa	March
ochu ekele	April
ochu ekelu	May
ochu ekefa	June
ochu ekebie	July
ochu ekejo	August
ochu ekela	September
ochu ekegwa	October
ochu ekegwa-oka	November
ochu ekegwe-eji	December
Ochu ajódudú	January
ochu ekeji	February
ochu eketa	March
ochu ekele	April
ochu ekelu	May
ochu ekefa	June
ochu ekebie	July
ochu ekejo	August
ochu ekela	September
ochu ekegwa	October
ochu ekegwa-oka	November
ochu ekegweji	December
ódú dú	AM
áné pété	PM
hieele 	all
wèwè	plenty
éfufu	white
édúdú	black
ékpikpa	red
òdùfa	green
òdùfa	blue
ọ̀rọ́ka 	afternoon
òdùdu	morning
bíẹ́nẹ 	bad
gwúchẹ́ 	break
gwúdu 	enter
ájúwẹ 	hen
ájúwẹ 	chicken
tù 	choose
tùgbo	went
tẹ̀gwù 	climb
úgbo 	place
ìchèkpúlù	school
ìchèkpúlù	universtiy
únyí-dúdú	prison
únyí-alee	office
únyí-olu	bedroom
únyí-ọkọ́	bank
ùnyọ̀	beautiful
ùnyọ̀	beauty
àìkọ 	cock
piopio	soon
òkòlò	compound
ídó	dance
Ọ́jọ́ 	God
ọ́maye	brother
ọ́maye	sister
iñyẹ	one
èjí 	two
Ẹta 	three 
ẹlẹ	four 
ẹgwa	five
ẹfa	six
èbíè	seven
ẹjọ	eight
ẹla	nine
ẹgwa	ten
ẹgwa ká	eleven
ẹgwa eji	twelve
ẹgwa ẹta	thirteen
ẹgwa ẹlẹ	fourteen
ẹgwa ẹlu	fifteen
ẹgwa ẹfa	sixteen
ẹgwa èbíè	seventeen
ẹgwa ẹjọ	eighteen
ẹgwa ẹlá	ninetenn
ogwu	twenty
Ogwu ẹgwa	thirty
ọgbọ mèjí	forty
ọgbọ meji ñyẹ gwa	fifty
ọgbọ mẹta	sixty
ọgbọ mẹta ñyọmẹ ẹgwa	seventy
ọgbọ mẹlẹ	eighty
ọgbọ mẹlẹ ñyọmẹ gwa	ninety
ogwu mẹlu	one hundred
